TC_id,FlyGeneOrtholog
TC004440,CG2093
TC004442,CG17527
TC004443,CG17533
TC004444,CG17533
TC004445,CG17530
TC004446,CG17533
TC004447,CG17531
TC004448,CG17531
TC004449,BcDNA:GH04753
TC004450,BcDNA:GH04753
TC004451,CG2093
TC004452,Tl
TC004453,CG10231
TC004454,CG10231
TC004455,CG11508
TC004457,CG5732
TC004458,EG:25E8.3
TC004459,CG15237
TC004460,CG3977
TC004461,C3G
TC004462,CG8415
TC004463,CG11722
TC004464,CG13030
TC004465,CG7526
TC004466,CG7041
TC004467,Kr-h1
TC004468,RpL18A
TC004470,mAcR-60C
TC004472,CG16707
TC004474,Toll-7
TC004488,CG11103
TC004489,CG5605
TC004491,fbl
TC004493,CG15706
TC004494,CG15706
TC004495,CG7786
TC004496,CG13745
TC004497,hts
TC004499,CG6119
TC004500,CG12045
TC004501,CG15187
TC004502,CG6839
TC004504,CG5740
TC004505,CG5740
TC004510,CG6084
TC004511,CG12547
TC004512,CG3209
TC004515,CG18435
TC004516,Or85d
TC004519,msi
TC004520,CG5657
TC004521,CG17227
TC004522,alphaTub84B
TC004523,Ldlr
TC004526,CG8165
TC004530,CG15365
TC004532,CG4553
TC004533,CG7218
TC004534,CG7218
TC004535,Ldlr
TC004538,trn
TC004539,CG5195
TC004540,CG9562
TC004541,trn
TC004542,CG9562
TC004543,CG9562
TC004545,TyrR
TC004546,CG13214
TC004547,CG9079
TC004548,CG13214
TC004550,CG3534
TC004551,Pxd
TC004553,CG18734
TC004554,CG18734
TC004555,CG7056
TC004556,Hrb87F
TC004557,SP1029
TC004558,CG6323
TC004559,CG6330
TC004560,CG6330
TC004561,CG12652
TC004562,CG13030
TC004564,CG7737
TC004565,CG15050
TC004566,Nurf-38
TC004567,CG13830
TC004568,BcDNA:LD21248
TC004569,BcDNA:LD21248
TC004570,CG12924
TC004573,CG8654
TC004574,Fdh
TC004578,CG11745
TC004579,CG6969
TC004581,CG5358
TC004582,CG5068
TC004583,CG8240
TC004585,BcDNA:GH03482
TC004586,grh
TC004589,grh
TC004590,14-3-3zeta
TC004591,BG:DS07473.1
TC004592,CG3131
TC004593,CG3131
TC004594,CG8683
TC004596,ari-1
TC004597,CG3168
TC004598,Hr78
TC004599,CG7007
TC004600,CG6995
TC004601,l(3)73Ah
TC004602,CG15000
TC004603,CG8931
TC004604,rnh1
TC004605,CG15447
TC004606,CG11228
TC004607,CG10915
TC004608,CG14723
TC004609,alpha-Cat
TC004610,CG7713
TC004611,CG8480
TC004612,PEK
TC004613,CG18528
TC004615,stau
TC004616,Sap47
TC004618,CG9085
TC004619,CG4023
TC004621,CG5291
TC004622,mas
TC004623,mas
TC004624,CG9372
TC004625,bgm
TC004626,Ero1L
TC004627,CG9047
TC004628,CG8772
TC004629,Dscam
TC004630,CG4342
TC004631,CG2747
TC004632,CG14115
TC004633,CG11984
TC004634,CG7461
TC004635,CG16821
TC004637,CG2069
TC004638,CG15658
TC004639,CG8026
TC004640,CG12215
TC004641,CG8773
TC004643,CG15828
TC004644,Nrg
TC004645,Ptp99A
TC004646,CG14567
TC004647,CG11428
TC004651,SC35
TC004653,CG6785
TC004654,ndl
TC004655,CG8568
TC004656,CG6295
TC004657,CG6277
TC004658,CG6013
TC004659,CG11320
TC004661,Pxd
TC004662,alien
TC004663,CG5990
TC004664,blm
TC004665,CG3108
TC004667,CG13768
TC004669,CG11518
TC004670,Bteb2
TC004671,CG9480
TC004672,CG1105
TC004673,CG7312
TC004674,CG6207
TC004675,Rpn1
TC004676,Gel
TC004677,trn
TC004678,CG12258
TC004679,CG4065
TC004680,CG14482
TC004682,CG17390
TC004683,CG8843
TC004684,CG7571
TC004689,CG6931
TC004690,colt
TC004691,RSG7
TC004693,CG9346
TC004694,CG9346
TC004696,CG18214
TC004697,bwk
TC004698,CG5640
TC004701,CG9297
TC004702,TppII
TC004703,wal
TC004709,SP2353
TC004710,tgo
TC004711,CG7334
TC004712,CG6562
TC004713,htl
TC004714,por
TC004715,Ca-alpha1D
TC004716,Tre
TC004717,CG4896
TC004718,fne
TC004719,Nipped-B
TC004720,CG5094
TC004721,bt
TC004722,CG17765
TC004723,BG:DS09218.4
TC004724,Adk2
TC004726,CG18144
TC004727,Glu-RA
TC004728,Nhe3
TC004729,CG8434
TC004730,Scsalpha
TC004732,Dak1
TC004733,CG3426
TC004734,CG1126
TC004740,BG:DS07295.1
TC004741,CG7801
TC004743,CG9796
TC004744,Arf51F
TC004745,ptc
TC004746,CG1371
TC004747,CG4224
TC004749,para
TC004750,CG13328
TC004751,Klp61F
TC004752,Klp61F
TC004755,CG2906
TC004756,Nf1
TC004757,Nf1
TC004758,ttv
TC004760,CG14720
TC004761,CG11152
TC004762,CG5894
TC004763,CG3402
TC004764,CG10275
TC004765,CG12806
TC004766,CG7237
TC004767,Crk
TC004768,trx
TC004769,Su(dx)
TC004770,CG1299
TC004772,CG2162
TC004773,DHPR
TC004775,CG4790
TC004776,Myt1
TC004777,CG2107
TC004778,CG4564
TC004779,CG11146
TC004780,CG11146
TC004781,CG14224
TC004782,CG14223
TC004784,CG2657
TC004785,CG5045
TC004789,CG8036
TC004791,CG9364
TC004792,CG6498
TC004793,CG3811
TC004794,PRL-1
TC004796,BcDNA:GH04922
TC004799,CG5001
TC004800,Klp31E
TC004801,CG14296
TC004802,CG11093
TC004803,Dsor1
TC004811,CG12555
TC004816,Eip74EF
TC004818,Cyp6a13
TC004819,CG6565
TC004820,Cyp1
TC004821,CG3955
TC004822,CG4096
TC004823,CG4989
TC004824,CG12367
TC004825,CG8671
TC004826,CG4331
TC004828,CG6937
TC004829,CG4159
TC004830,CG14516
TC004831,BcDNA:LD22910
TC004832,ro
TC004833,CG12344
TC004834,Elongin-B
TC004836,nAcRbeta-96A
TC004837,nAcRbeta-96A
TC004838,nAcRbeta-96A
TC004839,CG16941
TC004840,Dad
TC004842,CG7470
TC004846,sr
TC004849,CG8032
TC004850,CG15627
TC004853,CG3692
TC004854,alien
TC004855,CG4589
TC004856,CG9848
TC004857,CG9126
TC004859,BcDNA:LD22548
TC004860,EG:80H7.4
TC004861,CG5196
TC004862,CG17227
TC004863,snk
TC004864,CG9593
TC004865,CG5641
TC004868,Pros25
TC004871,CG5479
TC004872,CG3321
TC004873,alphaTub84B
TC004874,Or45b
TC004875,Or59c
TC004876,CG3295
TC004877,CG10638
TC004878,CG6084
TC004879,CG6084
TC004881,CG6083
TC004882,CG6084
TC004884,PyK
TC004886,CG18426
TC004888,CG5571
TC004889,BcDNA:GH08385
TC004891,Cdk8
TC004892,CG15697
TC004893,trk
TC004895,Toll-6
TC004898,Tollo
TC004900,CG13318
TC004901,Tollo
TC004909,CG13001
TC004910,BcDNA:GH02288
TC004911,bs
TC004918,CG1416
TC004920,BcDNA:LD19727
TC004921,CREG
TC004922,CG16771
TC004923,CG10827
TC004924,wts
TC004925,Rab11
TC004926,CG5991
TC004927,CG9849
TC004928,gl
TC004929,Gdh
TC004931,CG3040
TC004932,CG10990
TC004933,CG8589
TC004934,CG2371
TC004935,CG3313
TC004936,CG7694
TC004937,snk
TC004938,CG1925
TC004939,l(2)35Bg
TC004940,CG17531
TC004941,CG17525
TC004942,CG17530
TC004944,Or71a
TC004946,BG:BACR48E02.4
TC004947,betaTub60D
TC004948,CG12405
TC004949,BcDNA:LD21735
TC004950,BcDNA:GH10614
TC004951,BcDNA:GH10614
TC004952,CG14516
TC004953,BcDNA:GH04962
TC004954,CG5028
TC004955,CG14521
TC004956,CG15412
TC004957,CG5390
TC004958,CG14521
TC004959,CG10050
TC004960,betaggt-I
TC004961,CG4091
TC004962,CG12233
TC004963,CG15478
TC004964,CG9399
TC004965,CG2604
TC004966,CG2604
TC004967,CG2604
TC004968,msps
TC004969,CG10105
TC004970,CG10362
TC004972,Cyp4p2
TC004973,Cyp4c3
TC004975,CG9004
TC004976,HD-14
TC004977,Takr86C
TC004978,qm
TC004979,Bx42
TC004980,CG1837
TC004981,Arf102F
TC004983,TER94
TC004984,CG17334
TC004985,CG18257
TC004987,CG13094
TC004989,cathD
TC004990,RpS13
TC004992,DNApol-delta
TC004993,CG8619
TC004995,CG15054
TC005001,CG3013
TC005002,Clp
TC005003,CG13418
TC005004,CG8351
TC005005,gol
TC005006,Roe1
TC005007,EG:BACR7A4.16
TC005009,CG2926
TC005011,cag
TC005012,Pka-C1
TC005018,CG2485
TC005019,CG2485
TC005021,CG2485
TC005023,CG18665
TC005026,antdh
TC005030,CG17643
TC005031,CG2485
TC005032,CG2485
TC005045,CG2485
TC005046,CG10139
TC005050,CG18665
TC005056,His4r
TC005058,fas
TC005060,CG18665
TC005061,CG18665
TC005063,CG18665
TC005065,CG12807
TC005066,CG5903
TC005067,CG14211
TC005068,CG11999
TC005069,CG2929
TC005070,CG11964
TC005071,CG13605
TC005073,pum
TC005074,E2f
TC005075,CG3536
TC005079,CG2485
TC005080,sina
TC005081,scra
TC005082,sina
TC005083,scra
TC005084,sina
TC005085,CG7896
TC005086,CG8781
TC005087,Faf
TC005088,NPC1
TC005089,Ank
TC005090,CG18665
TC005094,Hsp68
TC005099,ras
TC005100,CG4382
TC005101,CG10543
TC005102,CG10543
TC005103,Scp1
TC005104,CG13868
TC005105,CG13030
TC005107,CG11207
TC005112,CG18665
TC005114,CG5156
TC005115,CG11102
TC005119,CG2663
TC005120,CG6846
TC005122,CG3902
TC005123,CG3902
TC005128,CG7988
TC005129,CG7519
TC005130,snk
TC005131,CG15744
TC005132,CG15744
TC005133,alpha-Est7
TC005134,CG8782
TC005135,CG10233
TC005136,svr
TC005137,svr
TC005139,His3.3A
TC005141,CG1441
TC005142,CG18665
TC005144,CG18665
TC005145,CG18665
TC005147,CG18665
TC005154,CG2485
TC005159,CG2485
TC005160,CG2485
TC005161,shn
TC005163,CG12241
TC005164,CG1055
TC005165,CG12869
TC005166,Sucb
TC005167,CG10577
TC005168,CG5116
TC005170,CG17816
TC005173,CG13030
TC005174,CG11377
TC005175,CG2257
TC005176,Itp-r83A
TC005178,CG5594
TC005179,BG:DS00797.2
TC005180,CG13101
TC005181,CG13139
TC005182,CG8176
TC005184,LanB1
TC005185,pAbp
TC005186,cher
TC005187,CG5085
TC005188,CG5364
TC005190,Est-6
TC005191,CG9629
TC005192,Mcm2
TC005195,CG2485
TC005200,CG12629
TC005201,CG18665
TC005202,CG2485
TC005204,Cortactin
TC005207,CG12579
TC005208,CG18665
TC005209,His2Av
TC005210,CG17949
TC005215,CG13585
TC005217,rod
TC005218,CG14490
TC005219,DAT
TC005222,Ank2
TC005224,dpn
TC005227,CG18352
TC005228,CG2469
TC005229,CG12156
TC005230,CG4927
TC005231,CG14076
TC005232,Mdh
TC005233,Men
TC005236,CG13817
TC005237,CG17122
TC005238,CG13815
TC005239,CG3356
TC005240,CG18665
TC005243,CG2485
TC005244,CG18665
TC005249,ade2
TC005250,ade2
TC005253,CG17653
TC005254,CG3238
TC005260,CG18665
TC005261,CG12629
TC005266,CG2485
TC005268,CG2485
TC005270,CG2485
TC005272,CG2485
TC005274,CG18665
TC005276,Psc
TC005277,CG16733
TC005278,CG18665
TC005282,CG18665
TC005283,CG18665
TC005288,CG5688
TC005295,CG18665
TC005297,CG18665
TC005301,CG2485
TC005303,KdelR
TC005304,BcDNA:GM13640
TC005305,CG10575
TC005306,CG3008
TC005307,CG5104
TC005308,BcDNA:GH08388
TC005309,CG8104
TC005310,CG8594
TC005311,CG7781
TC005312,CG7795
TC005313,CG5395
TC005314,Pten
TC005315,BicC
TC005316,CG1490
TC005317,Gapdh2
TC005319,CG18856
TC005320,BcDNA:LD29892
TC005322,BcDNA:LD29892
TC005323,BcDNA:LD29892
TC005324,CG4837
TC005327,CG18192
TC005328,Tbh
TC005330,CG2246
TC005331,CG17454
TC005333,Or45a
TC005334,Or45a
TC005336,CG5392
TC005337,l(3)73Ah
TC005338,l(2)efl
TC005339,Ptpmeg
TC005341,CG10668
TC005342,gsb-n
TC005343,CG3227
TC005344,CG9924
TC005345,CG6210
TC005347,CG8613
TC005351,Cyp9f2
TC005352,Cyp9f2
TC005353,Cyp9b2
TC005354,Cyp9c1
TC005355,CG4222
TC005356,CG5276
TC005358,CG8026
TC005359,CG10869
TC005365,Cyp9h1
TC005366,mts
TC005367,hgo
TC005368,CG7630
TC005369,CG7236
TC005370,Nmdmc
TC005371,CG1236
TC005372,CG8297
TC005373,CG6227
TC005374,Lsp2
TC005375,Lsp2
TC005376,Lsp2
TC005377,Lsp2
TC005383,CG6954
TC005384,Cyp9f2
TC005385,Cyp9h1
TC005386,Cyp9f2
TC005387,Cyp9c1
TC005388,Esp
TC005389,Esp
TC005390,l(1)10Bb
TC005392,CG5733
TC005393,lqf
TC005394,CG15387
TC005395,RpL3
TC005398,His3.3A
TC005399,CG6398
TC005401,CG10808
TC005403,CG5976
TC005404,CG4511
TC005406,kraken
TC005408,CG10997
TC005409,CG17905
TC005411,CG15117
TC005412,CG15117
TC005413,CG15117
TC005415,CG6995
TC005419,CG12966
TC005420,Ank
TC005421,CG9246
TC005423,CG8493
TC005424,CG11257
TC005426,CG3753
TC005427,CG14920
TC005428,CG14919
TC005431,CG10992
TC005432,CG10992
TC005433,CG1583
TC005434,CG13517
TC005435,CG13168
TC005436,CG15096
TC005437,CG15096
TC005438,CG8791
TC005439,CG15096
TC005440,CG15096
TC005441,CG15096
TC005442,CG15096
TC005443,CG15096
TC005444,yellow-b
TC005445,CG1486
TC005447,CG14967
TC005448,pap
TC005449,pap
TC005450,CG13415
TC005451,CG4618
TC005457,CG12702
TC005458,CG11414
TC005459,prominin-like
TC005460,inx2
TC005461,CG6195
TC005463,CG5435
TC005464,CG18648
TC005465,Bin4
TC005466,CG7053
TC005467,Bin4
TC005468,CG13806
TC005469,CG13806
TC005470,CG6514
TC005471,rdgB
TC005473,CG15029
TC005474,br
TC005475,CG11511
TC005476,br
TC005477,CG10967
TC005479,CG9152
TC005480,yellow-b
TC005481,CG13278
TC005482,CG11799
TC005484,CG15104
TC005485,Dhc36C
TC005486,CG5012
TC005487,CG5002
TC005488,CG5304
TC005489,CG9562
TC005490,CG5304
TC005491,CG5304
TC005492,CG3809
TC005493,CG10211
TC005495,CG8441
TC005496,Lis1
TC005498,CG13603
TC005499,alpha-Est9
TC005500,CG4678
TC005501,mtacp1
TC005502,CG10713
TC005503,CG6472
TC005504,CG7998
TC005506,CG6192
TC005511,Mt2
TC005512,CG12753
TC005513,zip
TC005515,Mkk4
TC005516,Sin
TC005517,CG10341
TC005521,CG10231
TC005523,CG17215
TC005524,CG6583
TC005525,CG9335
TC005527,l(2)efl
TC005528,Hsp23
TC005529,Hsp23
TC005530,CG16838
TC005531,CG6704
TC005532,CG9562
TC005533,CG6839
TC005534,CG14120
TC005536,CG15529
TC005538,CG2980
TC005539,BcDNA:HL03874
TC005541,HLHmgamma
TC005542,CG8546
TC005543,CG10641
TC005544,CG10641
TC005545,smo
TC005546,CG5092
TC005547,CG10309
TC005548,CG7131
TC005550,CG4346
TC005551,Rad17
TC005552,CG11009
TC005554,CG3238
TC005555,CG2478
TC005557,CG10688
TC005558,CG17847
TC005561,CG6492
TC005562,Esp
TC005565,CG8063
TC005566,CG1379
TC005568,CG15453
TC005570,BcDNA:GH01073
TC005572,CG18492
TC005573,CG11799
TC005574,CG8605
TC005575,sbr
TC005576,CG3116
TC005579,CG11450
TC005580,Or83a
TC005581,Or83a
TC005582,CG5112
TC005583,SamDC
TC005584,spt6
TC005585,DNApol-alpha73
TC005587,CG4165
TC005588,CG10518
TC005589,EG:95B7.9
TC005590,Gprk2
TC005591,CG5165
TC005593,BcDNA:LD24639
TC005594,CG7065
TC005596,CG4703
TC005597,CG5261
TC005600,al
TC005603,CG9342
TC005604,CG6951
TC005605,CG6951
TC005606,CG6963
TC005609,CycA
TC005610,CG9526
TC005611,BcDNA:LD22548
TC005612,CG2446
TC005614,CG6611
TC005615,BcDNA:GH02431
TC005616,BcDNA:GH02431
TC005617,Mlh1
TC005618,lic
TC005619,CG7044
TC005620,CG7044
TC005622,SytIV
TC005623,CG11140
TC005624,CG11140
TC005625,CG11140
TC005627,f
TC005628,CG4692
TC005632,CG14275
TC005635,CG2056
TC005637,CG14590
TC005638,CG14590
TC005640,CG13574
TC005641,CG13575
TC005644,CG11255
TC005648,CG9354
TC005649,CG12863
TC005650,CG9273
TC005652,CG2989
TC005653,CG6981
TC005658,CG13566
TC005661,unc-4
TC005663,CG13320
TC005664,CG13320
TC005665,eIF-3p66
TC005667,CG17333
TC005668,BG:DS07295.5
TC005669,CG5195
TC005670,CG7447
TC005672,SMC1
TC005673,CG12333
TC005675,CG6896
TC005676,Eip71CD
TC005677,Or49b
TC005678,Or49b
TC005679,Or49b
TC005680,Or49b
TC005681,Or49b
TC005682,CG8743
TC005683,sina
TC005685,CG14734
TC005686,CG6084
TC005687,CG6084
TC005690,CG13532
TC005696,CG18584
TC005697,CG9323
TC005698,CG6852
TC005701,CG3327
TC005702,BcDNA:GH09147
TC005709,CG2944
TC005710,CG9864
TC005711,CG9864
TC005712,CG9864
TC005713,CG9864
TC005714,CG11208
TC005715,Cdk5alpha
TC005717,CG15385
TC005718,CG8388
TC005719,fl(2)d
TC005720,CG16788
TC005721,Ank2
TC005722,CG10724
TC005723,CH4
TC005724,CG6061
TC005725,Acon
TC005733,CG9913
TC005736,U2af50
TC005738,Ubi-p63E
TC005740,sp4
TC005741,sp6
TC005742,sp3
TC005743,CG12172
TC005744,sp3
TC005746,sp3
TC005747,sp3
TC005748,sp3
TC005749,sp1
TC005750,sp4
TC005751,sp4
TC005752,sp4
TC005753,sp4
TC005754,sp4
TC005755,CG9932
TC005756,CG7718
TC005757,SMC2
TC005758,CG6745
TC005759,CG7890
TC005760,dx
TC005763,CG12994
TC005764,CG5524
TC005765,CG14249
TC005767,CG9934
TC005769,BcDNA:GH12558
TC005770,CG13688
TC005771,CG12172
TC005772,ade3
TC005773,CG14105
TC005774,CG13776
TC005777,dco
TC005779,FK506-bp1
TC005780,Sod2
TC005781,CG10026
TC005782,betaInt-nu
TC005784,bowl
TC005785,bowl
TC005788,sob
TC005792,RpL11
TC005793,CG15629
TC005794,CG6841
TC005796,lz
TC005797,lz
TC005798,CG17266
TC005799,CG1839
TC005801,CG5590
TC005802,CG3160
TC005803,EG:BACR7C10.7
TC005805,EG:BACR7C10.7
TC005806,CG5304
TC005807,CG5304
TC005808,CG5304
TC005809,BG:DS07660.1
TC005810,joey
TC005811,Mct1
TC005812,CG17223
TC005813,Sgs4
TC005814,CG10426
TC005815,CG11628
TC005816,CG10469
TC005817,CG7127
TC005819,CG9272
TC005820,CG17593
TC005825,CG6869
TC005826,CG5189
TC005828,CG1233
TC005830,CG8487
TC005831,CG7488
TC005832,Hel89B
TC005833,CG5757
TC005834,CG13732
TC005836,CG14154
TC005837,N
TC005841,Cyt-c-p
TC005842,ine
TC005844,CG8146
TC005845,CG4858
TC005847,CG7322
TC005848,CG7322
TC005849,CG7322
TC005851,mod(mdg4)
TC005852,BG:DS01219.1
TC005853,Bem46
TC005854,CG5682
TC005855,Pfk
TC005857,AGO1
TC005858,CG3376
TC005859,CG9491
TC005860,CG7322
TC005861,CG7322
TC005864,cmp44E
TC005865,CG15096
TC005866,CG5205
TC005867,128up
TC005869,Rpn11
TC005874,CG6142
TC005875,CG6142
TC005876,CG7221
TC005877,CG11444
TC005879,CG5288
TC005880,CG10999
TC005881,CG16926
TC005882,EG:39E1.2
TC005883,DNApol-gamma35
TC005884,Hsc70-1
TC005886,charybde
TC005887,charybde
TC005888,CG8388
TC005889,CG9104
TC005890,Adf1
TC005893,CG17264
TC005894,CG5741
TC005895,Myo31DF
TC005896,CG10191
TC005900,EG:EG0003.7
TC005902,CG9152
TC005903,CG6345
TC005904,CG3108
TC005905,CG3108
TC005906,CG6142
TC005907,CG9518
TC005908,CG6467
TC005909,CG3808
TC005910,ksr
TC005911,EG:23E12.1
TC005914,CG1625
TC005915,CG1625
TC005916,CG1625
TC005917,CG1625
TC005918,CG1625
TC005919,CG1625
TC005920,CG1625
TC005921,CG11125
TC005922,CG13097
TC005924,Mhc
TC005925,CG5255
TC005927,CG13804
TC005928,CG6543
TC005929,CG2663
TC005930,CG13096
TC005932,Atpalpha
TC005933,CG4329
TC005934,dnk
TC005937,CG4673
TC005938,CG4673
TC005943,CG4098
TC005945,CG8950
TC005946,CG14366
TC005947,CG1530
TC005948,CG1530
TC005949,CG1531
TC005951,CG13776
TC005952,ORF1
TC005953,CG10992
TC005954,CG10992
TC005955,CG10992
TC005956,CG10992
TC005959,Ate1
TC005961,CG11017
TC005963,CG9056
TC005965,CG9056
TC005966,BtbII
TC005967,CG3800
TC005968,CG9642
TC005969,CG9642
TC005970,CG9642
TC005972,kel
TC005976,CG6367
TC005977,CG10330
TC005978,l(2)k06403
TC005980,l(2)k06403
TC005981,CG4392
TC005982,CG4726
TC005983,CLIP-190
TC005984,RpS26
TC005985,CG7860
TC005986,CG7860
TC005987,CG7564
TC005988,CG15643
TC005989,CG8266
TC005990,CG8266
TC005991,CG2667
TC005992,CG8503
TC005994,CG17839
TC005995,CalpB
TC005996,CG5926
TC005997,BG:DS02252.2
TC006004,CG13499
TC006006,CG13497
TC006008,CG11686
TC006009,CG4878
TC006013,CG11568
TC006014,CG18665
TC006017,chp
TC006018,CG11569
TC006019,CG4849
TC006020,CG15730
TC006021,Smr
TC006022,Smr
TC006023,CG7288
TC006024,slgA
TC006025,CG9636
TC006026,CG3229
TC006028,CG4036
TC006029,dia
TC006030,EG:132E8.4
TC006031,EG:132E8.4
TC006032,Eph
TC006033,gd
TC006034,CG9649
TC006035,su(s)
TC006036,Rab7
TC006037,I-2
TC006038,CG9630
TC006039,CG8027
TC006040,hth
TC006041,CG8660
TC006043,CG12196
TC006044,BcDNA:GM10765
TC006046,CG7177
TC006047,vib
TC006048,EG:22E5.5
TC006049,CG11679
TC006050,CG11247
TC006051,CdGAPr
TC006052,CG3576
TC006053,CG3576
TC006054,CG3576
TC006055,TBPH
TC006056,CG15373
TC006057,CG6178
TC006060,CG9194
TC006061,CG9194
TC006062,CG8713
TC006063,pyd
TC006065,CG7565
TC006067,CG7492
TC006070,CG18665
TC006071,CG18665
TC006075,CG12629
TC006076,CG18665
TC006082,CG7233
TC006085,CG7093
TC006094,CG1845
TC006095,CG14398
TC006096,CG4020
TC006097,Ank
TC006098,CG17826
TC006099,Sodh-1
TC006100,Sodh-1
TC006101,Sodh-2
TC006102,car
TC006103,EG:63B12.11
TC006104,HDAC3
TC006105,Rox8
TC006106,RpL32
TC006108,Osbp
TC006109,CG8045
TC006110,Pph13
TC006111,CG12196
TC006112,CG17467
TC006113,CG1105
TC006114,CG3925
TC006115,CG14130
TC006116,wbl
TC006117,CG11856
TC006119,CG14620
TC006120,CG1443
TC006121,CG5065
TC006122,CG1443
TC006123,CG17560
TC006124,CG1443
TC006126,CG9895
TC006127,CG9617
TC006128,NaPi-T
TC006129,CG9304
TC006132,CG15725
TC006133,CG1697
TC006134,Con
TC006136,CG18288
TC006139,Mipp1
TC006146,Ih
TC006147,CG12301
TC006148,EG:95B7.3
TC006151,CG10889
TC006152,SCAR
TC006153,CG13030
TC006154,Tollo
TC006159,CG11160
TC006160,CG10151
TC006162,Mlf
TC006163,CG6094
TC006166,CG4749
TC006168,CG4217
TC006169,CG1667
TC006170,Gapdh2
TC006171,CG13576
TC006172,CG12251
TC006173,CG6418
TC006174,CG9565
TC006175,CG18665
TC006176,CG10134
TC006177,CG14390
TC006179,CG9843
TC006181,CG17086
TC006182,CG17086
TC006183,CG17086
TC006184,CG17086
TC006185,CG9172
TC006187,CG12989
TC006188,CG4644
TC006189,CG5080
TC006190,CG15130
TC006191,lwr
TC006192,CG9864
TC006198,CG17183
TC006199,CG12343
TC006200,CG5937
TC006201,CG5937
TC006202,CG5937
TC006203,CG3872
TC006204,tty
TC006205,CG14870
TC006206,CG2206
TC006207,CG2206
TC006208,CG2206
TC006209,CG2206
TC006210,CG9253
TC006211,CG11744
TC006213,CG7162
TC006215,CG1702
TC006216,CG12056
TC006217,CG7986
TC006218,CG5071
TC006219,CG6972
TC006221,CG2187
TC006222,CG8667
TC006224,CG12880
TC006225,CG7463
TC006226,CG5717
TC006227,CG9792
TC006229,CG9891
TC006230,y
TC006231,Cyt-b5-r
TC006232,Cyt-b5-r
TC006234,CG8928
TC006235,bss
TC006236,CG4365
TC006237,CG10543
TC006238,nmdyn-D6
TC006239,CG10778
TC006240,BG:DS07851.3
TC006241,CG4382
TC006242,BcDNA:GH04802
TC006244,BcDNA:GH04802
TC006245,spt4
TC006246,CG8952
TC006247,CG8952
TC006249,CG4064
TC006250,Def
TC006252,ND75
TC006253,unc-104
TC006254,CG6426
TC006255,sp3
TC006256,CG4707
TC006257,CG10366
TC006258,CG8321
TC006259,CG6769
TC006260,Rpn5
TC006261,CG4526
TC006262,CG8541
TC006265,CG12012
TC006266,charybde
TC006268,CG14642
TC006269,CG3355
TC006270,CG6984
TC006271,Scs-fp
TC006272,CG5500
TC006274,klg
TC006275,CG6154
TC006276,CG4583
TC006277,CG4710
TC006278,CG12533
TC006280,CG17996
TC006281,VhaSFD
TC006282,CG3183
TC006284,EG:23E12.1
TC006285,nvy
TC006286,CG9186
TC006287,CG18001
TC006288,CG13876
TC006290,Flo
TC006291,CG4670
TC006292,CG4670
TC006293,CG8401
TC006296,Act5C
TC006297,Act42A
TC006298,CG4525
TC006299,Ank2
TC006300,RpI135
TC006301,RpI135
TC006303,CG2493
TC006305,Rapgap1
TC006307,CG6388
TC006308,Rep4
TC006309,Myt1
TC006310,mei-41
TC006311,mei-41
TC006312,Ssb-c31a
TC006313,CG7728
TC006314,Axn
TC006318,EG:196F3.2
TC006322,CG16851
TC006323,CHIP
TC006324,CG10747
TC006325,CG10747
TC006326,Mipp2
TC006327,CG16940
TC006328,CG6413
TC006329,CG12083
TC006330,Rpn1
TC006331,nonA-l
TC006332,CG10253
TC006333,CG10020
TC006334,CG10020
TC006336,CG10599
TC006337,CG3409
TC006339,CG15436
TC006340,CG14771
TC006344,CG8460
TC006345,CG10958
TC006347,CG10016
TC006352,p115
TC006353,CG9265
TC006354,CG3625
TC006355,CG14039
TC006356,spen
TC006357,CG8844
TC006359,CG8841
TC006360,Trp1
TC006361,heix
TC006362,CG17035
TC006363,CG10059
TC006364,CG7003
TC006365,CG5010
TC006367,EG:131F2.2
TC006370,6-phosphofructo-2-kinase
TC006371,CG14942
TC006372,Rad51
TC006374,CG4872
TC006375,Rpn7
TC006378,CG1698
TC006379,BG:DS03431.1
TC006380,CG7791
TC006381,CG13857
TC006382,CG7975
TC006383,CG7866
TC006384,Sptr
TC006385,Aos1
TC006386,ced-6
TC006388,BcDNA:GH13356
TC006389,CG15436
TC006390,CG1671
TC006391,CG6927
TC006392,CG6927
TC006393,CG6927
TC006401,CG8539
TC006403,CG7082
TC006404,CG13322
TC006405,CG16935
TC006406,eIF-5A
TC006407,CG1832
TC006408,porin
TC006409,sds22
TC006410,lola
TC006411,CG14641
TC006412,CG13671
TC006413,CG3036
TC006414,CG1907
TC006415,CG18317
TC006417,CG10348
TC006419,CG10348
TC006424,CG8299
TC006425,CG6509
TC006428,CG10019
TC006429,CG15449
TC006432,klg
TC006436,l(1)1Bb
TC006438,CG12388
TC006440,Toll-7
TC006441,Cyp9f2
TC006442,Cyp9f2
TC006443,Cyp9f2
TC006444,Cyp9f2
TC006445,Cyp9f2
TC006448,Or23a
TC006449,Or9a
TC006450,CG6413
TC006451,CG15010
TC006452,CG15019
TC006453,BcDNA:GH02419
TC006454,BcDNA:GH02419
TC006455,BcDNA:GH02419
TC006456,BcDNA:GH02419
TC006457,CG18314
TC006458,CG16807
TC006460,CG4392
TC006461,CG10184
